,Program,ParentProject,Project,StationName,StationCode,SampleDate,CollectionTime,LocationCode,CollectionDepth,UnitCollectionDepth,SampleTypeCode,CollectionReplicate,ResultsReplicate,LabBatch,LabSampleID,MatrixName,MethodName,Analyte,Unit,Result,Observation,MDL,RL,ResultQualCode,QACode,BatchVerification,ComplianceCode,SampleComments,CollectionComments,ResultsComments,BatchComments,EventCode,ProtocolCode,SampleAgency,GroupSamples,CollectionMethodName,Latitude,Longitude,CollectionDeviceDescription,CalibrationDate,PositionWaterColumn,PrepPreservationName,PrepPreservationDate,DigestExtractMethod,DigestExtractDate,AnalysisDate,DilutionFactor,ExpectedValue,LabAgency,SubmittingAgency,SubmissionCode,OccupationMethod,StartingBank,DistanceFromBank,UnitDistanceFromBank,StreamWidth,UnitStreamWidth,StationWaterDepth,UnitStationWaterDepth,HydroMod,HydroModLoc,LocationDetailWQComments,ChannelWidth,UpstreamLength,DownStreamLength,TotalReach,LocationDetailBAComments,SampleID,DW_AnalyteName,DataQuality,DataQualityIndicator,Datum
11,Associated QA,Not Applicable,No project code exists; used for LABQA samples,Laboratory QA Samples,LABQA_SWAMP,6/28/2013,1899-12-30 00:00:00,Not Applicable,-88,m,LabBlank,1,1,WPCL_L-321-333-13MCY_W_CYTOX,L-321-13-MB,blankwater,"Mekebri, et al., 2009","Anatoxin-A, Total",ug/L,NA,NA,0.05,0.1,ND,SCR,VAC,Scr,,,,"Cpd low %R LCS/D, MS/D.  HT.  Result from re-anal for confirmation.  CCV out. QAO: verified against method criteria",WQ,Not Applicable,DFW-WPCL,NA,Not Applicable,-88,-88,None,NA,Not Applicable,None,1/1/1950 0:00,"Mekebri, et al., 2009",6/28/2013,7/13/2013,1,NA,DFW-WPCL,DFW-WPCL,"A,MD",,,NA,,NA,,NA,,,,,NA,NA,NA,NA,NA,,Anatoxin-A,MetaData,,NR
12,Associated QA,Not Applicable,No project code exists; used for LABQA samples,Laboratory QA Samples,LABQA_SWAMP,8/22/2013,1899-12-30 00:00:00,Not Applicable,-88,m,LCS,1,1,WPCL_L-143-13MCY_W_CYTOX,L-143-13-LCS,blankwater,"Mekebri, et al., 2009","Anatoxin-A, Total",ug/L,1.87,NA,0.05,0.1,=,SCR,VAC,Scr,,clean solvent was used,PR 37.4,Cpd hi in LCS/D RPD.  All samples screened for Anatoxin-A. QAO: verified against method criteria,WQ,Not Applicable,DFW-WPCL,NA,Not Applicable,-88,-88,None,NA,Not Applicable,None,1/1/1950 0:00,"Mekebri, et al., 2009",8/22/2013,9/10/2013,1,5,DFW-WPCL,DFW-WPCL,"A,MD",,,NA,,NA,,NA,,,,,NA,NA,NA,NA,NA,,Anatoxin-A,MetaData,,NR
13,Associated QA,Not Applicable,No project code exists; used for LABQA samples,Laboratory QA Samples,LABQA_SWAMP,6/24/2013,1899-12-30 00:00:00,Not Applicable,-88,m,LabBlank,1,1,WPCL_L-310-317-13MCY_W_CYTOX,L-310-13-MB,blankwater,"Mekebri, et al., 2009","Anatoxin-A, Total",ug/L,NA,NA,0.05,0.1,ND,SCR,VAC,Scr,,,,"Cpd low %R LCS/D, MS/D.  HT.  Result from re-anal for confirmation.  CCV out.  Cpd hi in LCS/D, MS/D RPD.   QAO: verified against method criteria",WQ,Not Applicable,DFW-WPCL,NA,Not Applicable,-88,-88,None,NA,Not Applicable,None,1/1/1950 0:00,"Mekebri, et al., 2009",6/24/2013,7/13/2013,1,NA,DFW-WPCL,DFW-WPCL,"A,MD",,,NA,,NA,,NA,,,,,NA,NA,NA,NA,NA,,Anatoxin-A,MetaData,,NR
14,Associated QA,Not Applicable,No project code exists; used for LABQA samples,Laboratory QA Samples,LABQA_SWAMP,10/31/2013,1899-12-30 00:00:00,Not Applicable,-88,m,LCS,1,2,WPCL_L-517-13MCY_W_CYTOX,L-517-13-LCSD,blankwater,"Mekebri, et al., 2009","Anatoxin-A, Total",ug/L,1.8,NA,0.05,0.1,=,SCR,VAC,Scr,,clean solvent was used,"PR 36, RPD 4.5",All samples screened for Anatoxin-A and Microcystin-LF. QAO: verified against method criteria,WQ,Not Applicable,DFW-WPCL,NA,Not Applicable,-88,-88,None,NA,Not Applicable,None,1/1/1950 0:00,"Mekebri, et al., 2009",10/31/2013,3/7/2014,1,5,DFW-WPCL,DFW-WPCL,A,,,NA,,NA,,NA,,,,,NA,NA,NA,NA,NA,,Anatoxin-A,MetaData,,NR
15,Associated QA,Not Applicable,No project code exists; used for LABQA samples,Laboratory QA Samples,LABQA_SWAMP,11/4/2013,1899-12-30 00:00:00,Not Applicable,-88,m,LabBlank,1,1,WPCL_L-577-13MCY_B1_W_CYTOX,L-577-13-MB-A,blankwater,"Mekebri, et al., 2009","Anatoxin-A, Total",ug/L,NA,NA,0.05,0.1,ND,SCR,VAC,Scr,,,,"HT.  Result from re-anal for confirmation.  Cpd hi in LCS/D RPD.  Screening level analysis.  CCV outside control limits.  QAO: LCS HT >3X, verified against method criteria",WQ,Not Applicable,DFW-WPCL,NA,Not Applicable,-88,-88,None,NA,Not Applicable,None,1/1/1950 0:00,"Mekebri, et al., 2009",11/4/2013,11/5/2013,1,NA,DFW-WPCL,DFW-WPCL,"A,MD",,,NA,,NA,,NA,,,,,NA,NA,NA,NA,NA,,Anatoxin-A,MetaData,,NR
16,Associated QA,Not Applicable,No project code exists; used for LABQA samples,Laboratory QA Samples,LABQA_SWAMP,7/5/2013,1899-12-30 00:00:00,Not Applicable,-88,m,LabBlank,1,1,WPCL_L-336-13MCY_W_CYTOX,L-336-13-MB,blankwater,"Mekebri, et al., 2009","Anatoxin-A, Total",ug/L,NA,NA,0.05,0.1,ND,SCR,VAC,Scr,,,,Cpd low %R LCS/D.  HT.  Result from re-anal for confirmation.  CCV out. QAO: verified against method criteria,WQ,Not Applicable,DFW-WPCL,NA,Not Applicable,-88,-88,None,NA,Not Applicable,None,1/1/1950 0:00,"Mekebri, et al., 2009",7/5/2013,7/13/2013,1,NA,DFW-WPCL,DFW-WPCL,"A,MD",,,NA,,NA,,NA,,,,,NA,NA,NA,NA,NA,,Anatoxin-A,MetaData,,NR
17,Associated QA,Not Applicable,No project code exists; used for LABQA samples,Laboratory QA Samples,LABQA_SWAMP,8/22/2013,1899-12-30 00:00:00,Not Applicable,-88,m,LabBlank,1,1,WPCL_L-143-13MCY_W_CYTOX,L-143-13-MB,blankwater,"Mekebri, et al., 2009","Anatoxin-A, Total",ug/L,NA,NA,0.05,0.1,ND,SCR,VAC,Scr,,clean solvent was used,,Cpd hi in LCS/D RPD.  All samples screened for Anatoxin-A. QAO: verified against method criteria,WQ,Not Applicable,DFW-WPCL,NA,Not Applicable,-88,-88,None,NA,Not Applicable,None,1/1/1950 0:00,"Mekebri, et al., 2009",8/22/2013,9/10/2013,1,NA,DFW-WPCL,DFW-WPCL,"A,MD",,,NA,,NA,,NA,,,,,NA,NA,NA,NA,NA,,Anatoxin-A,MetaData,,NR
18,Associated QA,Not Applicable,No project code exists; used for LABQA samples,Laboratory QA Samples,LABQA_SWAMP,8/22/2013,1899-12-30 00:00:00,Not Applicable,-88,m,LCS,1,2,WPCL_L-143-13MCY_W_CYTOX,L-143-13-LCSD,blankwater,"Mekebri, et al., 2009","Anatoxin-A, Total",ug/L,1.87,NA,0.05,0.1,=,SCR,VAC,Scr,,clean solvent was used,"PR 37.4, RPD 0.18",Cpd hi in LCS/D RPD.  All samples screened for Anatoxin-A. QAO: verified against method criteria,WQ,Not Applicable,DFW-WPCL,NA,Not Applicable,-88,-88,None,NA,Not Applicable,None,1/1/1950 0:00,"Mekebri, et al., 2009",8/22/2013,9/10/2013,1,5,DFW-WPCL,DFW-WPCL,"A,MD",,,NA,,NA,,NA,,,,,NA,NA,NA,NA,NA,,Anatoxin-A,MetaData,,NR
19,Associated QA,Not Applicable,No project code exists; used for LABQA samples,Laboratory QA Samples,LABQA_SWAMP,11/4/2013,1899-12-30 00:00:00,Not Applicable,-88,m,LCS,1,1,WPCL_L-577-13MCY_B1_W_CYTOX,L-577-13-LCS-A,blankwater,"Mekebri, et al., 2009","Anatoxin-A, Total",ug/L,1.67,NA,0.05,0.1,=,SCR,VAC,Scr,,clean solvent was used,PR 33.4,"HT.  Result from re-anal for confirmation.  Cpd hi in LCS/D RPD.  Screening level analysis.  CCV outside control limits.  QAO: LCS HT >3X, verified against method criteria",WQ,Not Applicable,DFW-WPCL,NA,Not Applicable,-88,-88,None,NA,Not Applicable,None,1/1/1950 0:00,"Mekebri, et al., 2009",11/4/2013,11/5/2013,1,5,DFW-WPCL,DFW-WPCL,"A,MD",,,NA,,NA,,NA,,,,,NA,NA,NA,NA,NA,,Anatoxin-A,MetaData,,NR
20,Associated QA,Not Applicable,No project code exists; used for LABQA samples,Laboratory QA Samples,LABQA_SWAMP,11/4/2013,1899-12-30 00:00:00,Not Applicable,-88,m,LCS,1,2,WPCL_L-577-13MCY_B1_W_CYTOX,L-577-13-LCSD-A,blankwater,"Mekebri, et al., 2009","Anatoxin-A, Total",ug/L,1.68,NA,0.05,0.1,=,SCR,VAC,Scr,,clean solvent was used,"PR 33.5, RPD 0.6","HT.  Result from re-anal for confirmation.  Cpd hi in LCS/D RPD.  Screening level analysis.  CCV outside control limits.  QAO: LCS HT >3X, verified against method criteria",WQ,Not Applicable,DFW-WPCL,NA,Not Applicable,-88,-88,None,NA,Not Applicable,None,1/1/1950 0:00,"Mekebri, et al., 2009",11/4/2013,11/5/2013,1,5,DFW-WPCL,DFW-WPCL,"A,MD",,,NA,,NA,,NA,,,,,NA,NA,NA,NA,NA,,Anatoxin-A,MetaData,,NR
21,Associated QA,Not Applicable,No project code exists; used for LABQA samples,Laboratory QA Samples,LABQA_SWAMP,10/31/2013,1899-12-30 00:00:00,Not Applicable,-88,m,LabBlank,1,1,WPCL_L-517-13MCY_W_CYTOX,L-517-13-MB,blankwater,"Mekebri, et al., 2009","Anatoxin-A, Total",ug/L,NA,NA,0.05,0.1,ND,SCR,VAC,Scr,,clean solvent was used,,All samples screened for Anatoxin-A and Microcystin-LF. QAO: verified against method criteria,WQ,Not Applicable,DFW-WPCL,NA,Not Applicable,-88,-88,None,NA,Not Applicable,None,1/1/1950 0:00,"Mekebri, et al., 2009",10/31/2013,3/7/2014,1,NA,DFW-WPCL,DFW-WPCL,A,,,NA,,NA,,NA,,,,,NA,NA,NA,NA,NA,,Anatoxin-A,MetaData,,NR
22,Associated QA,Not Applicable,No project code exists; used for LABQA samples,Laboratory QA Samples,LABQA_SWAMP,11/5/2013,1899-12-30 00:00:00,Not Applicable,-88,m,LabBlank,1,1,WPCL_L-577-13MCY_B2_W_CYTOX,L-577-13-MB-B,blankwater,"Mekebri, et al., 2009","Anatoxin-A, Total",ug/L,NA,NA,0.05,0.1,ND,SCR,VAC,Scr,,clean solvent was used,,"Diln.  HT.  Result from re-anal for confirmation.  Cpd hi in LCS/D RPD.  Screening level analysis.  CCV outside control limits. QAO: verified against method criteria, LCS HT >3X",WQ,Not Applicable,DFW-WPCL,NA,Not Applicable,-88,-88,None,NA,Not Applicable,None,1/1/1950 0:00,"Mekebri, et al., 2009",11/5/2013,11/5/2013,1,NA,DFW-WPCL,DFW-WPCL,"A,MD",,,NA,,NA,,NA,,,,,NA,NA,NA,NA,NA,,Anatoxin-A,MetaData,,NR
23,Associated QA,Not Applicable,No project code exists; used for LABQA samples,Laboratory QA Samples,LABQA_SWAMP,11/5/2013,1899-12-30 00:00:00,Not Applicable,-88,m,LCS,1,2,WPCL_L-577-13MCY_B2_W_CYTOX,L-577-13-LCSD-B,blankwater,"Mekebri, et al., 2009","Anatoxin-A, Total",ug/L,1.57,NA,0.05,0.1,=,SCR,VAC,Scr,,clean solvent was used,"PR 31.3, RPD 10","Diln.  HT.  Result from re-anal for confirmation.  Cpd hi in LCS/D RPD.  Screening level analysis.  CCV outside control limits. QAO: verified against method criteria, LCS HT >3X",WQ,Not Applicable,DFW-WPCL,NA,Not Applicable,-88,-88,None,NA,Not Applicable,None,1/1/1950 0:00,"Mekebri, et al., 2009",11/5/2013,11/5/2013,1,5,DFW-WPCL,DFW-WPCL,"A,MD",,,NA,,NA,,NA,,,,,NA,NA,NA,NA,NA,,Anatoxin-A,MetaData,,NR
24,Associated QA,Not Applicable,No project code exists; used for LABQA samples,Laboratory QA Samples,LABQA_SWAMP,11/13/2014,1899-12-30 00:00:00,Not Applicable,-88,m,LCS,1,1,WPCL_L-288-354-14_W_Ana,L-288-14-LCS,blankwater,WPCL SOP LC-065,"Anatoxin-A, Total",ug/L,12.2,NA,0.5,1,=,None,"VAC,VMD",Qual,,,PR 122,All samples frozen upon receipt at the lab and kept frozen until processing. QA/DM: verified against method criteria,WQ,Not Applicable,DFW-WPCL,NA,Not Applicable,-88,-88,None,NA,Not Applicable,LabFiltered,1/1/1950 0:00,None,1/1/1950,11/13/2014,1,10,DFW-WPCL,DFW-WPCL,A,,,NA,,NA,,NA,,,,,NA,NA,NA,NA,NA,,Anatoxin-A,MetaData,,NR
25,Associated QA,Not Applicable,No project code exists; used for LABQA samples,Laboratory QA Samples,LABQA_SWAMP,11/13/2014,1899-12-30 00:00:00,Not Applicable,-88,m,LCS,1,2,WPCL_L-288-354-14_W_Ana,L-288-14-LCSD,blankwater,WPCL SOP LC-065,"Anatoxin-A, Total",ug/L,11.7,NA,0.5,1,=,None,"VAC,VMD",Qual,,,"PR 117, RPD 3.9",All samples frozen upon receipt at the lab and kept frozen until processing. QA/DM: verified against method criteria,WQ,Not Applicable,DFW-WPCL,NA,Not Applicable,-88,-88,None,NA,Not Applicable,LabFiltered,1/1/1950 0:00,None,1/1/1950,11/13/2014,1,10,DFW-WPCL,DFW-WPCL,A,,,NA,,NA,,NA,,,,,NA,NA,NA,NA,NA,,Anatoxin-A,MetaData,,NR
26,Associated QA,Not Applicable,No project code exists; used for LABQA samples,Laboratory QA Samples,LABQA_SWAMP,9/17/2015,1899-12-30 00:00:00,Not Applicable,-88,m,LabBlank,1,1,WPCL_L-311-15_W_Ana,L-311-15-MB,blankwater,WPCL SOP LC-065,"Anatoxin-A, Total",ug/L,NA,NA,0.5,1,ND,None,"VAC,VQI",Com,,,,QA/DM:Batch missing LCS dup for precision QC,WQ,Not Applicable,DFW-WPCL,NA,Not Applicable,-88,-88,None,NA,Not Applicable,LabFiltered,1/1/1950 0:00,None,1/1/1950,9/17/2015,1,NA,DFW-WPCL,DFW-WPCL,A,,,NA,,NA,,NA,,,,,NA,NA,NA,NA,NA,,Anatoxin-A,MetaData,,NR
27,Associated QA,Not Applicable,No project code exists; used for LABQA samples,Laboratory QA Samples,LABQA_SWAMP,11/3/2015,1899-12-30 00:00:00,Not Applicable,-88,m,LCS,1,1,WPCL_L-664-15_W_Ana,L-664-15-LCS,blankwater,WPCL SOP LC-065,"Anatoxin-A, Total",ug/L,8.06,NA,0.5,1,=,None,"VAC,VQI",Com,,,PR 80.6,"QA/DM: not analyzed under MQOs.Incomplete QC of matrix accuracy,precision.Missing MS, MSD.  ",WQ,Not Applicable,DFW-WPCL,NA,Not Applicable,-88,-88,None,NA,Not Applicable,LabFiltered,1/1/1950 0:00,None,1/1/1950,11/3/2015,1,10,DFW-WPCL,DFW-WPCL,A,,,NA,,NA,,NA,,,,,NA,NA,NA,NA,NA,,Anatoxin-A,MetaData,,NR
28,Associated QA,Not Applicable,No project code exists; used for LABQA samples,Laboratory QA Samples,LABQA_SWAMP,9/17/2015,1899-12-30 00:00:00,Not Applicable,-88,m,LCS,1,1,WPCL_L-311-15_W_Ana,L-311-15-LCS,blankwater,WPCL SOP LC-065,"Anatoxin-A, Total",ug/L,10.6,NA,0.5,1,=,VQCP,"VAC,VQI",Qual,,,PR 106,QA/DM:Batch missing LCS dup for precision QC,WQ,Not Applicable,DFW-WPCL,NA,Not Applicable,-88,-88,None,NA,Not Applicable,LabFiltered,1/1/1950 0:00,None,1/1/1950,9/17/2015,1,10,DFW-WPCL,DFW-WPCL,A,,,NA,,NA,,NA,,,,,NA,NA,NA,NA,NA,,Anatoxin-A,MetaData,,NR
29,Associated QA,Not Applicable,No project code exists; used for LABQA samples,Laboratory QA Samples,LABQA_SWAMP,11/3/2015,1899-12-30 00:00:00,Not Applicable,-88,m,LabBlank,1,1,WPCL_L-664-15_W_Ana,L-664-15-MB,blankwater,WPCL SOP LC-065,"Anatoxin-A, Total",ug/L,NA,NA,0.5,1,ND,None,"VAC,VQI",Com,,,,"QA/DM: not analyzed under MQOs.Incomplete QC of matrix accuracy,precision.Missing MS, MSD.  ",WQ,Not Applicable,DFW-WPCL,NA,Not Applicable,-88,-88,None,NA,Not Applicable,LabFiltered,1/1/1950 0:00,None,1/1/1950,11/3/2015,1,NA,DFW-WPCL,DFW-WPCL,A,,,NA,,NA,,NA,,,,,NA,NA,NA,NA,NA,,Anatoxin-A,MetaData,,NR
30,Associated QA,Not Applicable,No project code exists; used for LABQA samples,Laboratory QA Samples,LABQA_SWAMP,11/3/2015,1899-12-30 00:00:00,Not Applicable,-88,m,LCS,1,2,WPCL_L-664-15_W_Ana,L-664-15-LCSD,blankwater,WPCL SOP LC-065,"Anatoxin-A, Total",ug/L,7.78,NA,0.5,1,=,None,"VAC,VQI",Com,,,"PR 77.8, RPD 3.5","QA/DM: not analyzed under MQOs.Incomplete QC of matrix accuracy,precision.Missing MS, MSD.  ",WQ,Not Applicable,DFW-WPCL,NA,Not Applicable,-88,-88,None,NA,Not Applicable,LabFiltered,1/1/1950 0:00,None,1/1/1950,11/3/2015,1,10,DFW-WPCL,DFW-WPCL,A,,,NA,,NA,,NA,,,,,NA,NA,NA,NA,NA,,Anatoxin-A,MetaData,,NR
31,Associated QA,Not Applicable,No project code exists; used for LABQA samples,Laboratory QA Samples,LABQA_SWAMP,8/3/2016,1899-12-30 00:00:00,Not Applicable,-88,m,LabBlank,1,1,WPCL_L-445-16_BS175-16_W_ELISA,L-445-16-MB,blankwater,ELISA Abraxis 520060,"Anatoxin-A, Total",ug/L,-0.1,NA,0.1,0.15,ND,None,"VAC,VQI",Scr,,,,"Samples buffered improperly and low bias results for L-445-16-10 and L-445-16-15.  Dilution.QA/DM: inadequate QC, screening.",WQ,Not Applicable,DFW-WPCL,NA,Not Applicable,-88,-88,None,NA,Not Applicable,None,1/1/1950 0:00,ELISA Abraxis 520060,8/3/2016,8/3/2016,1,NA,DFW-WPCL,DFW-WPCL,"A,MD",,,NA,,NA,,NA,,,,,NA,NA,NA,NA,NA,,Anatoxin-A,MetaData,,NR
32,Associated QA,Not Applicable,No project code exists; used for LABQA samples,Laboratory QA Samples,LABQA_SWAMP,8/26/2016,1899-12-30 00:00:00,Not Applicable,-88,m,LCS,1,1,WPCL_L-491-16_BS221-16_W_ELISA,L-491-16-LCS,blankwater,ELISA Abraxis 520060,"Anatoxin-A, Total",ug/L,0.748,NA,0.1,0.15,=,SCR,"VAC,VQI",Scr,,,PR 99.7,"QA/DM:Screeing,QC samples missing,failed MQOs",WQ,Not Applicable,DFW-WPCL,NA,Not Applicable,-88,-88,None,NA,Not Applicable,None,1/1/1950 0:00,None,1/1/1950,8/26/2016,1,0.75,DFW-WPCL,DFW-WPCL,A,,,NA,,NA,,NA,,,,,NA,NA,NA,NA,NA,,Anatoxin-A,MetaData,,NR
